run,target_c,initial_c,sample_interval_s,settling_time_s,absolute_final_error_c,peak_command,data_kind
1,50,20,0.2,12.5,0.40,1.00,synthetic-demo
2,50,20,0.2,12.9,0.50,1.00,synthetic-demo
3,50,20,0.2,12.6,0.35,1.00,synthetic-demo
4,50,20,0.2,13.1,0.45,1.00,synthetic-demo
5,50,20,0.2,13.0,0.45,1.00,synthetic-demo
6,50,20,0.2,12.7,0.40,1.00,synthetic-demo
7,50,20,0.2,12.8,0.50,1.00,synthetic-demo
8,50,20,0.2,12.9,0.45,1.00,synthetic-demo
9,50,20,0.2,12.8,0.30,1.00,synthetic-demo
10,50,20,0.2,12.7,0.40,1.00,synthetic-demo
